,Unnamed: 0,title,Production company,Release date,Country,Language,Budget(float),Box office(float),imdb,metascore,rotten_tmatoes,plot,genre,user_ratings,Running time(int),Directed by,Produced by,Written by,Based on,Starring,Music by,Distributed by,Story by,Narrated by,Cinematography,Edited by,Screenplay by
0,0,Academy Award Review of,Walt Disney Productions,"['May 19, 1937']",United States,English,30000000.0,45.472,7.2,61.0,unknown,"A compilation of five Oscar-winning Disney shorts, released to help promote the upcoming release of Snow White and the Seven Dwarfs (1937).","Animation, Short, Comedy, Family",60,41.0,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
1,1,Snow White and the Seven Dwarfs,Walt Disney Productions,"['December 21, 1937 ( Carthay Circle Theatre , Los Angeles , CA )', 'February 4, 1938 (United States)']",United States,English,1490000.0,418000000.0,7.6,95.0,unknown,"Exiled into the dangerous forest by her wicked stepmother, a princess is rescued by seven dwarf miners who make her part of their household.","Animation, Family, Fantasy, Musical, Romance","178,142",83.0,"['David Hand (supervising)', 'William Cottrell', 'Wilfred Jackson', 'Larry Morey', 'Perce Pearce', 'Ben Sharpsteen']",Walt Disney,"['Ted Sears', 'Richard Creedon', 'Otto Englander', 'Dick Rickard', 'Earl Hurd', 'Merrill De Maris', 'Dorothy Ann Blank', 'Webb Smith']","['Snow White', 'by The', 'Brothers Grimm']","['Adriana Caselotti', 'Lucille La Verne', 'Harry Stockwell', 'Roy Atwell', 'Pinto Colvig', 'Otis Harlan', 'Scotty Mattraw', 'Billy Gilbert', 'Eddie Collins', 'Moroni Olsen', 'Stuart Buchanan']","['Frank Churchill', 'Paul Smith', 'Leigh Harline']",RKO Radio Pictures,unknown,unknown,unknown,unknown,unknown
2,2,Pinocchio,Walt Disney Productions,"['February 7, 1940 ( Center Theatre )', 'February 23, 1940 (United States)']",United States,English,2600000.0,164000000.0,7.4,99.0,100%,"A living puppet, with the help of a cricket as his conscience, must prove himself worthy to become a real boy.","Animation, Comedy, Family, Fantasy, Musical","128,268",88.0,"['Ben Sharpsteen', 'Hamilton Luske', 'Bill Roberts', 'Norman Ferguson', 'Jack Kinney', 'Wilfred Jackson', 'T. Hee']",Walt Disney,unknown,"['The Adventures of Pinocchio', 'by', 'Carlo Collodi']","['Cliff Edwards', 'Dickie Jones', 'Christian Rub', 'Mel Blanc', 'Walter Catlett', 'Charles Judels', 'Evelyn Venable', 'Frankie Darro']","['Leigh Harline', 'Paul J. Smith']",RKO Radio Pictures,"['Ted Sears', 'Otto Englander', 'Webb Smith', 'William Cottrell', 'Joseph Sabo', 'Erdman Penner', 'Aurelius Battaglia']",unknown,unknown,unknown,unknown
3,3,Fantasia,Walt Disney Productions,"['November 13, 1940']",United States,English,2280000.0,83300000.0,7.7,96.0,95%,A collection of animated interpretations of great works of Western classical music.,"Animation, Family, Fantasy, Music","87,264",126.0,"['Samuel Armstrong', 'James Algar', 'Bill Roberts', 'Paul Satterfield', 'Ben Sharpsteen', 'David D. Hand', 'Hamilton Luske', 'Jim Handley', 'Ford Beebe', 'T. Hee', 'Norman Ferguson', 'Wilfred Jackson']","['Walt Disney', 'Ben Sharpsteen']",unknown,unknown,"['Leopold Stokowski', 'Deems Taylor']",See program,"['Walt Disney Productions', 'RKO Radio Pictures']","['Joe Grant', 'Dick Huemer']",Deems Taylor,James Wong Howe,unknown,unknown
4,4,The Reluctant Dragon,Walt Disney Productions,"['June 20, 1941']",United States,English,600000.0,960000.0,6.9,61.0,67%,Humorist Robert Benchley learns about the animation process at Walt Disney Studios while trying to find the great man himself to pitch him the idea of making a cartoon about a shy dragon.,"Animation, Comedy, Family","2,616",74.0,"['Alfred Werker', '(live action)', 'Hamilton Luske', '(animation)', 'Jack Cutting', ',', 'Ub Iwerks', ',', 'Jack Kinney', '(sequence directors)']",Walt Disney,"['Live-action:', 'Ted Sears', 'Al Perkins', 'Larry Clemmons', 'Bill Cottrell', 'Harry Clork', 'Robert Benchley', 'The Reluctant Dragon', 'segment:', 'Kenneth Grahame', '(original book)', 'Erdman Penner', 'T. Hee', 'Baby Weems', 'segment:', 'Joe Grant', 'Dick Huemer', 'John Miller']",unknown,"['Robert Benchley', 'Frances Gifford', 'Buddy Pepper', 'Nana Bryant']","['Frank Churchill', 'Larry Morey']",RKO Radio Pictures,unknown,unknown,Bert Giennon,Paul Weatherwax,unknown
5,5,Dumbo,Walt Disney Productions,"['October 23, 1941 (New York City)', 'October 31, 1941 (U.S.)']",United States,English,950000.0,1300000.0,7.2,96.0,98%,"Ridiculed because of his enormous ears, a young circus elephant is assisted by a mouse to achieve his full potential.","Animation, Drama, Family, Musical","117,544",64.0,"['Supervising director:', 'Ben Sharpsteen', 'Sequence directors:', 'Norman Ferguson', 'Wilfred Jackson', 'Bill Roberts', 'Jack Kinney', 'Samuel Armstrong']",Walt Disney,unknown,"['Dumbo, the Flying Elephant', 'by', 'Helen Aberson', 'Harold Pearl']","['Edward Brophy', 'Herman Bing', 'Margaret Wright', 'Sterling Holloway', 'Verna Felton', 'Cliff Edwards', 'James Baskett', 'Nick Stewart', 'Hall Johnson', 'Jim Carmichael']","['Frank Churchill', 'Oliver Wallace']",RKO Radio Pictures,"['Otto Englander', 'Joe Grant', 'Dick Huemer']",John McLeish,unknown,unknown,unknown
6,6,Bambi,Walt Disney Productions,"['August 9, 1942 (World Premiere-London)', 'August 13, 1942 (Premiere-New York City)', 'August 21, 1942 (U.S.)']",United States,English,858000.0,267400000.0,7.3,91.0,90%,The story of a young deer growing up in the forest.,"Animation, Drama, Family","128,632",70.0,"['Supervising director', 'David Hand', 'Sequence directors', 'James Algar', 'Samuel Armstrong', 'Graham Heid', 'Bill Roberts', 'Paul Satterfield', 'Norman Wright']",Walt Disney,unknown,"['Bambi, a Life in the Woods', 'by', 'Felix Salten']",see below,"['Frank Churchill', 'Edward H. Plumb']",RKO Radio Pictures,"['Story direction', 'Perce Pearce', 'Story adaptation', 'Larry Morey', 'Story development', 'Vernon Stallings', 'Melvin Shaw', 'Carl Fallberg', 'Chuck Couch', 'Ralph Wright']",unknown,unknown,unknown,unknown
7,7,Saludos Amigos,Walt Disney Productions,"['August 24, 1942 (World Premiere-Rio de Janeiro)', 'February 6, 1943 (U.S. Premiere-Boston)', 'February 19, 1943 (U.S.)']",United States,"['English', 'Portuguese', 'Spanish']",30000000.0,1135000.0,6.1,60.0,unknown,Disney animators tour South America and present four animated shorts inspired by their trip.,"Animation, Short, Adventure, Comedy, Family, Fantasy, Music","5,147",42.0,"['Norman Ferguson', 'Wilfred Jackson', 'Jack Kinney', 'Hamilton Luske', 'Bill Roberts']",Walt Disney,unknown,unknown,"['Lee Blair', 'Mary Blair', 'Pinto Colvig', 'Walt Disney', 'Norman Ferguson', 'Frank Graham', 'Clarence Nash', 'José Oliveira', 'Frank Thomas']","['Paul Smith', 'Edward H. Plumb']",RKO Radio Pictures,"['Homer Brightman', 'William Cottrell', 'Richard Huemer', 'Joe Grant', 'Harold Reeves', 'Ted Sears', 'Webb Smith', 'Roy Williams', 'Ralph Wright']",Fred Shields,unknown,unknown,unknown
8,8,Victory Through Air Power,Walt Disney Productions,"['July 17, 1943']",United States,English,788000.0,799000.0,6.5,61.0,54%,An animated documentary promoting of the soundness of strategic aerial bombing in World War II.,"Documentary, Animation, History, War",854,65.0,"['Animated sequences:', 'James Algar', 'Clyde Geronimi', 'Jack Kinney', 'de Seversky scenes:', 'H.C. Potter']",Walt Disney,"['Story direction:', 'Perce Pearce', 'Story adaptation:', 'T. Hee', 'Erdman Penner', 'Bill Cottrell', 'James Brodero', 'George Stallings', 'Jose Rodriguez']",Victory Through Air Power by Maj. Alexander P. Seversky,Alexander de Seversky,"['Edward H. Plumb', 'Paul J. Smith', 'Oliver Wallace']",United Artists,unknown,Art Baker,Ray Rennahan,Jack Dennis,unknown
9,9,The Three Caballeros,Walt Disney Productions,"['December 21, 1944 (Mexico City)', 'February 3, 1945 (US)']",United States,"['English', 'Spanish', 'Portuguese']",30000000.0,3355000.0,6.4,85.0,82%,"Donald receives his birthday gifts, which include traditional gifts and information about Brazil (hosted by Zé Carioca) and Mexico (by Panchito, a Mexican Charro Rooster).","Animation, Comedy, Family, Fantasy, Musical","12,041",71.0,"['Norman Ferguson (supervising director)', 'Clyde Geronimi', 'Jack Kinney', 'Bill Roberts', 'Harold Young (sequence directors)']",Walt Disney,unknown,unknown,"['Clarence Nash', 'José Oliveira', 'Joaquin Garay']","['Edward H. Plumb', 'Paul J. Smith', 'Charles Wolcott']",RKO Radio Pictures,"['Homer Brightmen', 'Ernest Terrazas', 'Ted Sears', 'Bill Peet', 'Ralph Wright', 'Elmer Plummer', 'Roy Williams', 'William Cottrell', 'Del Connell', 'James Bodrero']",unknown,unknown,unknown,unknown
